
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
407,Jack Stephens,eng ENG,DFMF,Bournemouth,28-284,1994,0.0,2,2,100.0,44,14,1,1,100.0,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches,6adbc307
408,Raheem Sterling,eng ENG,FWMF,Chelsea,27-334,1994,10.6,232,318,73.0,2925,684,139,167,83.2,65,87,74.7,9,14,64.3,1,2.1,1.5,-1.1,18,11,20,5,24,Matches,b400bde0
409,John Stones,eng ENG,DF,Manchester City,28-163,1994,7.1,545,569,95.8,9354,2370,243,252,96.4,257,266,96.6,36,39,92.3,2,1.2,0.7,+0.8,3,37,2,0,17,Matches,5eecec3d
410,Pascal Struijk,nl NED,DF,Leeds United,23-088,1999,11.9,515,655,78.6,7310,3508,302,345,87.5,176,223,78.9,20,49,40.8,1,2.2,1.0,-1.2,10,51,8,2,45,Matches,f4d296e4
411,Crysencio Summerville,nl NED,MF,Leeds United,21-008,2001,4.3,98,132,74.2,1236,387,67,82,81.7,23,30,76.7,3,10,30.0,0,0.3,0.3,-0.3,5,8,5,1,12,Matches,df04eb4b
412,Sam Surridge,eng ENG,FW,Nott'ham Forest,24-102,1998,1.4,14,33,42.4,212,60,8,16,50.0,4,10,40.0,1,2,50.0,0,0.1,0.0,-0.1,1,3,0,0,3,Matches,b017b770
413,Matt Targett,eng ENG,DF,Newcastle Utd,27-050,1995,4.7,212,279,76.0,3499,1453,105,121,86.8,92,105,87.6,13,44,29.5,0,0.3,0.6,-0.3,7,16,5,0,24,Matches,e514ab62
414,James Tarkowski,eng ENG,DF,Everton,29-353,1992,14.0,536,664,80.7,11165,4310,163,187,87.2,290,333,87.1,80,133,60.2,0,0.8,0.4,-0.8,6,41,1,0,22,Matches,15ea812b
415,Marcus Tavernier,eng ENG,MFDF,Bournemouth,23-230,1999,13.4,324,479,67.6,5167,1338,186,225,82.7,97,137,70.8,29,79,36.7,3,1.3,1.0,+1.7,13,18,8,3,17,Matches,5c0da4a4
416,Kenny Tete,nl NED,DF,Fulham,27-029,1995,7.9,267,365,73.2,4142,1646,149,172,86.6,99,139,71.2,16,31,51.6,3,0.3,0.2,+2.7,5,18,6,4,17,Matches,77d7c96f
417,Luke Thomas,eng ENG,DF,Leicester City,21-150,2001,2.0,105,124,84.7,1700,739,54,62,87.1,44,51,86.3,7,9,77.8,0,0.0,0.1,0.0,0,8,1,0,15,Matches,fc027d02
418,Youri Tielemans,be BEL,MF,Leicester City,25-184,1997,12.3,700,824,85.0,11521,3686,339,370,91.6,269,303,88.8,67,103,65.0,1,2.4,2.1,-1.4,18,82,18,6,63,Matches,56f7a928
419,Kieran Tierney,sct SCO,DF,Arsenal,25-155,1997,3.9,180,241,74.7,3451,1163,69,80,86.3,88,109,80.7,21,40,52.5,0,0.1,0.2,-0.1,2,24,5,1,22,Matches,fce2302c
420,Harry Toffolo,eng ENG,DF,Nott'ham Forest,27-080,1995,6.4,170,255,66.7,2684,1219,94,111,84.7,68,100,68.0,6,30,20.0,0,0.4,0.5,-0.4,3,10,7,4,14,Matches,a105d46a
