Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
44,Rafael Borré,co COL,FWMF,Eint Frankfurt,27-055,1995,4.4,100,139,71.9,1474,314,59,70,84.3,28,40,70.0,7,13,53.8,1,1.0,1.2,0.0,5,6,2,1,8,Matches,c68da769
45,Julian Brandt,de GER,FWMF,Dortmund,26-191,1996,10.7,399,532,75.0,5934,1613,230,262,87.8,101,135,74.8,41,82,50.0,2,2.9,2.7,-0.9,28,22,11,1,38,Matches,a167537f
46,Josip Brekalo,hr CRO,MFFW,Wolfsburg,24-139,1998,3.0,103,148,69.6,1684,475,57,65,87.7,31,41,75.6,11,20,55.0,1,0.4,0.4,+0.6,5,10,4,0,12,Matches,d4a2533d
47,Cédric Brunner,ch SUI,DF,Schalke 04,28-265,1994,9.5,286,410,69.8,5300,2127,110,127,86.6,144,192,75.0,29,75,38.7,0,0.5,1.0,-0.5,6,17,9,7,21,Matches,f0a37d36
48,Jacob Bruun Larsen,dk DEN,FW,Hoffenheim,24-051,1998,3.1,51,71,71.8,693,110,33,42,78.6,15,18,83.3,1,5,20.0,0,0.3,0.3,-0.3,5,5,1,0,2,Matches,4e204552
49,Lee Buchanan,eng ENG,DF,Werder Bremen,21-247,2001,2.5,78,113,69.0,1533,556,32,39,82.1,32,45,71.1,13,28,46.4,0,0.4,0.4,-0.4,2,8,1,1,6,Matches,45e95f21
50,Marius Bülter,de GER,FWMF,Schalke 04,29-225,1993,11.3,199,324,61.4,2988,992,122,142,85.9,52,93,55.9,14,36,38.9,0,1.7,1.2,-1.7,14,19,17,8,25,Matches,ab5b7dc1
51,Delano Burgzorg,nl NED,FWMF,Mainz 05,24-002,1998,2.3,31,42,73.8,371,55,22,27,81.5,5,5,100.0,1,2,50.0,1,0.1,0.2,+0.9,1,1,1,0,2,Matches,05e2d5ea
52,Jonathan Burkardt,de GER,MFFW,Mainz 05,22-121,2000,4.6,57,81,70.4,920,258,28,34,82.4,20,25,80.0,7,12,58.3,2,0.9,1.5,+1.1,5,2,8,1,9,Matches,05f99a4a
53,Oliver Burke,sct SCO,FWMF,Werder Bremen,25-216,1997,2.8,51,74,68.9,634,184,30,44,68.2,15,17,88.2,1,4,25.0,0,0.3,0.1,-0.3,4,4,3,0,6,Matches,f631c17f
54,Jamie Bynoe-Gittens,eng ENG,FW,Dortmund,18-093,2004,1.8,27,36,75.0,341,152,16,20,80.0,8,9,88.9,0,2,0.0,0,0.0,0.3,0.0,1,3,3,0,5,Matches,10745192
55,Anthony Caci,fr FRA,DF,Mainz 05,25-131,1997,5.8,229,310,73.9,5155,1867,62,77,80.5,115,135,85.2,49,89,55.1,0,0.2,0.7,-0.2,4,28,2,1,23,Matches,0118c54c
56,Kerim Calhanoglu,de GER,DF,Schalke 04,20-075,2002,0.7,30,42,71.4,574,388,14,16,87.5,10,15,66.7,6,8,75.0,0,0.2,0.2,-0.2,3,0,2,1,2,Matches,d1db4b83
